n,price,rooms,meters,address
53,4700,3.5,116,"Haldenstrasse 8, 8045 Zürich"
54,3934,3.5,104,"Wehntalerstrasse 59, 8057 Zürich"
55,4350,5.5,160,"Heinrich-Wolff-Strasse 10, 8046 Zürich"
56,2280,2.5,62,"Seebacherstrasse 36, 8052 Zürich"
57,2980,3.0,63,"Agnesstrasse 47, 8004 Zürich"
58,3640,4.5,89,"Libellenweg 9, 8048 Zürich"
59,4070,4.5,108,"Am Oeschbrig 5, 8053 Zürich"
60,2300,3.5,70,"Ringstrasse 70, 8057 Zürich"
61,3950,3.5,80,"Sprecherstrasse 5, 8032 Zürich"
62,3900,3.5,79,"Hammerstrasse 33, 8008 Zürich"
63,4400,3.5,93,"Niederdorfstrasse 37, 8001 Zürich"
64,5000,5.5,120,"Schwingerstrasse 7, 8006 Zürich"
65,2990,3.5,111,"Riedgrabenweg 5, 8050 Zürich"
66,3505,3.0,72,"Seestrasse 436, 8038 Zürich"
67,6450,5.5,135,"Stauffacherstrasse 26, 8004 Zürich"
68,7370,3.5,129,"Hufgasse 11, 8008 Zürich"
69,5100,4.5,112,"Hölderlinsteig 2, 8032 Zürich"
70,2030,2.5,60,"Wehntalerstrasse 441, 8046 Zürich"
71,4450,4.5,145,"Am Oeschbrig 34, 8053 Zürich"
72,4083,3.5,107,"Lessingstrasse 3, 8002 Zürich"
73,1950,3.5,85,"Alfred-Escher-Strasse 70, 8002 Zurigo"
74,2560,3.5,103,"Zürichstrasse 87, 8053 Zürich"
75,3950,3.5,100,"Rötelstrasse 109, 8037 Zürich"
76,3950,3.0,90,"Hammerstrasse 11, 8008 Zürich"
77,5990,5.5,138,"Zollikerstrasse 247, 8008 Zürich"
78,6300,4.5,130,"Wiesenstrasse 14, 8008 Zürich"
79,9050,7.5,250,"Feldeggstrasse 80, 8008 Zürich"
80,3650,4.5,130,"Michael-Maggi Strasse 1, 8046 Zürich"
81,2930,2.5,0,"Brinerstrasse 2, 8003 Zürich"
82,4800,3.5,107,"Kanzleistrasse 3, 8004 Zürich"
83,4350,5.0,111,"Rebbergstrasse 1, 8037 Zürich"
84,3950,2.5,86,"Höschgasse 83, 8008 Zürich"
85,3850,3.5,83,"Luisenstrasse 33, 8005 Zürich"
86,4195,2.0,76,"Bellerivestrasse 17, 8008 Zürich"
87,6500,3.0,128,"Pfingstweidstrasse 98, 8005 Zürich"
88,4695,4.5,130,"Rindermarkt 12, 8001 Zürich"
89,6050,4.0,128,"Lessingstrasse 9, 8002 Zürich"
90,3900,3.5,103,"Glaubtenstrasse 7, 8046 Zürich"
91,6150,6.5,170,"Hügelstrasse 12, 8002 Zürich"
92,3246,3.5,90,"Buckhauserstrasse 49, 8048 Zürich"
93,2670,2.5,55,"Promenadengasse 19, 8001 Zürich"
94,5350,4.0,0,"Rosenbühlstrasse 30, 8044 Zürich"
95,3387,2.5,80,"Schweighofstrasse, 8055 Zurigo"
96,4180,4.0,110,"Clausiusstrasse, 8006 Zürich"
97,2650,2.0,52,"Eichbühlstrasse 64, 8004 Zürich"
98,2650,2.0,55,"Eichbühlstrasse 64, 8004 Zürich"
99,5200,5.0,113,"Hofackerstrasse 15, 8032 Zürich"
100,1840,1.0,7,"Rotbuchstrasse 9, 8006 Zürich"
101,4110,3.5,114,"Käferholzstrasse 32, 8057 Zürich"
102,4175,3.5,76,"Siewerdtstrasse 105, 8050 Zürich"
103,1080,7.0,295,"Streulistrasse 19, 8032 Zürich"
104,2000,2.0,0,"Seebacherstrasse 66, 8052 Zürich"
105,2975,3.5,80,"70 Meientalstrasse, 8048 Zürich"
106,3550,3.5,87,"Leutschenbachstrasse 40, 8050 Zürich"
107,3040,5.5,128,"Regensdorferstrasse, 8049 Zürich"
108,0,6.5,210,"Bächtoldstrasse 11, 8044 Zürich"
109,2790,3.5,70,"Diggelmannstrasse 27, 8047 Zürich"
110,2200,2.0,55,"Stapferstrasse 16, 8006 Zürich"
111,5261,5.5,119,"Agnesstrasse 2, 8004 Zürich"
112,2210,2.5,53,"Hofwiesenstrasse 12, 8057 Zürich"
113,2998,3.5,130,"Michael-Maggi-Strasse 22, 8046 Zürich"
114,3230,3.5,101,"Glatttalstrasse 37, 8052 Zürich"
115,2940,2.5,59,"Siewerdtstrasse 105, 8050 Zürich"
116,2780,3.5,70,"Birmensdorferstrasse 390, 8055 Zürich"
117,8881,6.5,250,8044 Zürich
118,3160,3.0,88,"Eibenstrasse 5, 8045 Zürich"
119,1794,2.0,50,"Riedgrabenweg 39, 8050 Zürich"
120,2480,3.5,86,"Im Mittelleimbach 22, 8041 Zürich"
121,3500,3.5,86,"Hammerstrasse 38, 8008 Zürich"
122,2690,2.5,60,"Butzenstrasse 4, 8038 Zürich"
123,3984,2.5,150,"Feldstrasse 43, 8004 Zürich"
124,2470,3.5,60,"Hürststrasse 6, 8046 Zürich"
125,4140,4.5,110,"Birmensdorferstrasse 93, 8003 Zürich"
126,3935,3.5,81,"Lessingstrasse 41, 8002 Zürich"
127,5750,6.5,167,8048 Zürich
128,3355,3.0,63,"Hegibachstrasse 51, 8032 Zürich"
129,2580,2.0,49,"Moosstrasse 39, 8038 Zürich"
130,4175,3.5,81,"Lessingstrasse 41, 8002 Zürich"
131,4070,3.5,81,"Lessingstrasse 41, 8002 Zürich"
132,3000,2.5,65,"Brandschenkestrasse 76, 8002 Zürich"
133,1400,5.5,13,"Weinbergstrasse 164, 8006 Zürich"
134,3790,2.5,83,"Hufgasse 19, 8008 Zürich"
135,3116,3.5,72,"Hottingerstrasse 38, 8032 Zürich"
136,1805,1.5,30,"Marktgasse, 8001 Zürich"
137,2680,2.0,52,8038 Zürich
138,4300,4.5,133,"Frohburgstrasse, 8057 Zürich"
139,3935,3.5,110,"Zentralstrasse, 8003 Zürich"
140,4500,4.5,90,"Hammerstrasse 42, 8008 Zürich"
141,3995,5.5,112,"Kirchenfeld 55, 8052 Zürich"
142,2950,2.5,54,"Dufourstrasse 71, 8008 Zürich"
143,2645,3.5,80,"Kirchenfeld 59, 8052 Zürich"
144,2720,3.5,0,"Zentralstrasse, 8003 Zürich"
145,2690,2.5,54,"Winzerstrasse 65, 8049 Zürich"
146,3950,2.5,100,8008 Zürich
147,5400,4.5,152,8032 Zürich
148,2290,1.5,26,"Bäckerstrasse 10, 8004 Zürich"
149,0,6.5,220,"Höschgasse, 8008 Zürich"
150,3370,3.5,92,"Münstergasse 9, 8001 Zürich"
151,3250,2.5,61,"Jakob-Fügli-Strasse 2, 8048 Zürich"
152,2750,2.5,70,"Stettbacherrain 12, 8051 Zürich"
153,3470,2.5,85,"Regensdorferstrasse 70B, 8049 Zürich"
154,3980,2.5,54,"Müllerstrasse 57, 8004 Zürich"
155,3570,3.5,96,"Brauerstrasse 4, 8004 Zürich"
156,2850,2.5,71,"Stettbacherrain 16, 8051 Zürich"
157,2990,2.5,79,"Badenerstrasse 843, 8048 Zürich"
158,2950,2.5,69,"Stettbacherrain 16, 8051 Zürich"
159,2890,2.5,71,"Vorhaldenstrasse 17, 8049 Zürich"
160,3340,3.5,80,"Vorhaldenstrasse 17, 8049 Zürich"
161,5485,3.5,152,"Etzelstrasse 3, 8038 Zürich"
162,5940,5.5,127,"General Wille-Strasse 8, 8002 Zürich"
163,6300,3.5,108,"Hofwiesenstrasse 360, 8050 Zürich"
164,4400,3.0,102,"Pfirsichstrasse 7, 8006 Zürich"
165,3780,2.5,109,"Forchstrasse 261, 8032 Zürich"
166,3890,4.5,116,"Stettbacherrain 16, 8051 Zürich"
167,3150,2.5,66,"Stettbacherrain 12, 8051 Zürich"
168,3090,2.5,60,"Birmensdorferstrasse 315, 8055 Zürich"
169,3590,2.5,73,"Schöntalstrasse 20, 8004 Zürich"
170,0,6.5,515,"Dianastrasse 5, 8002 Zürich"
171,2430,3.0,81,"Alfred Escher-Str. 34, 8002 Zürich"
172,4250,3.0,91,"Baslerstrasse 77, 8048 Zürich"
173,3204,2.5,78,"Weinbergstrasse 161, 8006 Zürich"
174,5700,3.5,172,"Zwingliplatz 3, 8001 Zürich"
175,4450,3.5,87,"Ziegeleiweg 12, 8055 Zürich"
176,6980,6.0,0,"Freiestrasse 88, 8032 Zürich"
177,4890,3.5,173,"Albulastrasse 60, 8048 Zürich"
178,3690,2.5,110,"Albulastrasse 60, 8048 Zürich"
179,4780,4.5,132,"Dachslernstrasse 184, 8048 Zürich"
180,3440,3.5,87,"Eugen-Huber-Str. 113, 8048 Zürich"
181,3922,3.5,109,"Leutschenbachstrasse 50/50a, 8050 Zürich"
182,4490,3.5,89,"Ziegeleiweg 14, 8055 Zürich"
183,4490,4.5,117,"Segnesstrasse 12, 8048 Zürich"
184,3590,3.5,101,"Segnesstrasse 8, 8048 Zürich"
185,3601,2.0,81,"Haldenstrasse 14, 8045 Zürich"
186,3780,3.5,86,"Ziegeleiweg 14, 8055 Zürich"
187,3004,4.0,89,"Seestrasse 314, 8038 Zürich"
188,4254,4.5,117,"Käferholzstrasse 60, 8057 Zürich"
189,2950,3.5,92,"Segnesstrasse 9, 8048 Zürich"
190,2125,1.0,3,"Steinstrasse 27, 8003 Zürich"
191,4320,4.5,123,"Birchstrasse 183B, 8050 Zürich"
192,3530,4.0,0,"Schöntalstrasse 31, 8004 Zürich"
193,4680,4.0,110,"Zollikerstr. 23, 8008 Zürich"
194,2560,2.5,53,"Vorhaldenstrasse 17, 8049 Zürich"
195,3990,3.5,82,"Birmensdorferstrasse 315, 8055 Zürich"
196,3990,3.5,83,"Birmensdorferstrasse 313, 8055 Zürich"
197,3890,3.5,78,"Birmensdorferstrasse 313, 8055 Zürich"
198,2340,1.5,53,"Badenerstrasse 686, 8048 Zürich"
199,2930,2.5,75,"Badenerstrasse 682, 8048 Zürich"
200,3150,2.5,82,"Badenerstrasse 682, 8048 Zürich"
201,2590,1.0,41,"Hagenholzstrasse 100, 8050 Zürich"
202,2500,4.0,91,"Samariterstrasse 8, 8032 Zürich"
203,3950,3.5,93,"Ackerstrasse 12, 8005 Zürich"
204,2615,3.5,99,"Geeringstr. 87, 8049 Zürich"
205,3120,2.5,55,"Brahmsstrasse 23, 8003 Zürich"
206,4740,3.5,108,"Badenerstr. 157, 8004 Zürich"
207,2610,1.5,83,"Hohlstr. 511, 8048 Zürich"
208,3600,2.5,86,"Neuhausstrasse 11, 8044 Zürich"
209,5300,5.5,0,"Rieterstrasse 48, 8002 Zürich"
210,3950,2.5,100,"Segnesstrasse 14, 8048 Zürich"
211,3760,3.5,93,"Segnesstrasse 14, 8048 Zürich"
212,3490,3.5,85,"Segnesstrasse 10, 8048 Zürich"
213,3431,2.0,70,"Baslerstrasse 77, 8048 Zürich"
214,2270,4.0,101,"Bauhallengasse 11, 8004 Zürich"
215,2640,2.5,73,"Wibichstrasse 33, 8037 Zürich"
216,4660,2.5,80,"Zeltweg 68, 8032 Zürich"
217,5180,2.5,89,"Zeltweg 68, 8032 Zürich"
218,4970,2.5,107,"Kinkelstrasse 38, 8006 Zürich"
219,2990,2.5,58,"Segnesstrasse 10, 8048 Zürich"
220,4017,4.5,116,"Trichtenhausenstrasse 84, 8053 Zürich"
221,3560,3.5,107,"Spindelstrasse 9, 8041 Zürich"
222,3360,3.5,104,"Spindelstrasse 7, 8041 Zürich"
223,1017,4.5,182,"General Guisan-Quai 36, 8002 Zürich"
224,1600,1.5,23,"Viktoriastrasse 29, 8057 Zürich"
225,3693,3.5,114,"Binzallee 39, 8055 Zürich"
226,2489,3.5,75,"Seestrasse 345, 8038 Zürich"
227,2106,3.5,78,"Buchholzstrasse 110, 8053 Zürich"
228,3220,3.0,88,"Hadlaubstrasse 34, 8044 Zürich"
229,510,1.5,23,"Siewerdtstrasse 75, 8050 Zürich"
230,2450,2.5,60,"Tramstrasse 24, 8050 Zürich"
231,3950,3.5,88,"Ackerstrasse 12, 8005 Zürich"
232,4600,3.5,145,"Asylstrasse 71, 8032 Zürich"
233,3340,2.5,91,"Pfingstweidstrasse 104, 8005 Zürich"
234,2370,2.5,50,"Seebacherstrasse 64, 8052 Zürich"
235,3065,3.5,101,"Maneggpromenade 150, 8041 Zürich"
236,3840,3.5,98,"Badenerstrasse 686, 8048 Zürich"
237,4310,3.5,107,"August-Forel-Strasse 23, 8008 Zürich"
238,2959,2.5,63,"Südstrasse 3, 8008 Zürich"
239,3575,2.5,70,"Hügelstr. 8, 8002 Zürich"
240,3850,4.0,90,"Waffenplatzstrasse 82, 8002 Zürich"
241,4510,4.0,0,"Forsterstrasse 67, 8044 Zürich"
242,2380,2.0,0,"Forsterstrasse 67, 8044 Zürich"
243,6340,5.5,155,"Forsterstrasse 67, 8044 Zürich"
244,4690,4.0,96,"Seefeldstrasse 47, 8008 Zürich"
245,5105,3.5,114,"Fritz Fleiner-Weg 11, 8044 Zürich"
246,3930,2.5,79,"Lavaterstr. 63, 8002 Zürich"
247,2844,2.0,71,"Richard-Wagner-Strasse 23, 8002 Zürich"
248,4430,3.5,120,"Buckhauserstrasse 45, 8048 Zürich"
249,4560,3.5,93,"Stauffacherquai 56, 8004 Zürich"
250,2582,3.0,65,"Querstrasse 15, 8050 Zürich"
251,3445,3.5,84,"Trichtenhausenstrasse 86, 8053 Zürich"
252,4370,4.0,96,"Schulhausstrasse 36, 8002 Zürich"
253,2620,2.5,71,"Eggbühlstrasse 9, 8050 Zürich"
254,2099,2.0,57,"Scheuchzerstrasse 120, 8006 Zürich"
255,1490,1.0,1,"Riedenhaldenstrasse 68, 8046 Zürich"
256,2862,3.5,106,"Reinhold-Frei-Strasse 68, 8049 Zürich"
257,4459,4.0,102,"Baslerstrasse 77, 8048 Zürich"
258,1800,1.5,38,"Josefstr. 129, 8005 Zürich"
259,3685,3.5,98,"Sonnenbergstr. 5, 8032 Zürich"
260,5165,4.5,106,"Wiedingstrasse 87b, 8045 Zürich"
261,2088,2.5,72,"Fellenbergstrasse 289, 8047 Zürich"
262,2933,3.5,97,"Armin-Bollinger-Weg 7, 8050 Zürich"
263,5475,3.5,105,"Bürglistr. 25, 8002 Zürich"
264,3839,3.0,83,"Baslerstrasse 77, 8048 Zürich"
265,4090,4.5,148,"Schaffhauserstrasse 363, 8050 Zürich"
266,2995,2.5,115,"Tulpenstrasse 43, 8051 Zürich"
267,2890,3.5,100,"Hagenholzstrasse 76, 8050 Zürich"
268,3060,2.5,65,"Letzigraben 116, 8047 Zürich"
269,3941,3.5,103,"Scheuchzerstrasse 66, 8006 Zürich"
270,3738,2.5,87,"Karl-Stauffer-Strasse 8, 8008 Zürich"
271,2833,3.5,84,"Hagenholzstrasse 62, 8050 Zürich"
272,2501,2.0,50,"Hohenbühlstrasse 4, 8032 Zürich"
273,3492,3.5,84,"Trichtenhausenstrasse 82, 8053 Zürich"
274,3685,3.5,102,"Birchstrasse 183B, 8050 Zürich"
275,1900,3.0,58,"Ziegelstrasse 12, 8038 Zürich"
276,3045,3.0,63,"Neugasse 41, 8005 Zürich"
277,2410,2.5,76,"Tuchmacherstrasse 34, 8041 Zürich"
278,2638,3.5,75,"Leimgrübelstrasse 16, 8052 Zürich"
279,3450,3.5,74,"Strassburgstrasse 15, 8004 Zürich"
280,3400,4.5,95,"Sonnhaldenstrasse 7, 8032 Zürich"
281,2310,3.0,69,"David Hess-Weg 6, 8038 Zürich"
282,2450,2.5,54,"Hurdäckerstrasse 1a, 8049 Zürich"
283,1560,2.0,63,"Luegislandstrasse 498, 8051 Zürich"
284,4990,3.5,173,"Albulastrasse 60, 8048 Zürich"
285,3245,2.5,98,"Hinterbergstrasse 106, 8044 Zürich"
286,3350,2.5,78,"Feldblumenweg 14, 8048 Zürich"
287,2540,4.0,95,"Oetlisbergstrasse 7, 8053 Zürich"
288,3500,4.0,99,"Witikonerstrasse 93, 8053 Zürich"
289,4470,4.5,101,"Letzigraben 116, 8047 Zürich"
290,3270,3.0,88,"Schneckenmannstrasse 9, 8044 Zürich"
291,3525,2.5,56,"Steinstrasse 27, 8003 Zürich"
292,1930,3.0,60,"Caspar Wüst-Strasse 42, 8052 Zürich"
293,2380,3.0,76,"Waffenplatzstrasse 80, 8002 Zürich"
294,4065,4.0,88,"Schaffhauserstrasse 30, 8006 Zürich"
295,2350,2.0,55,"Steinstrasse 35, 8003 Zurich"
296,3490,3.0,95,"Pflugstr. 20, 8006 Zürich"
297,4590,5.5,147,"Spindelstrasse 15, 8041 Zürich"
298,3815,3.0,84,"Fritz Fleiner-Weg 11, 8044 Zürich"
299,4766,4.5,111,"Limmatquai 86 / Köngengasse 2, 8001 Zürich"
300,3813,2.5,70,"Jenatschstrasse 5, 8002 Zürich"
301,2641,2.5,58,"Franklinstrasse 12, 8050 Zürich"
302,8980,4.5,161,"General Guisan-Quai 36, 8002 Zürich"
303,3110,2.5,92,"Edisonstrasse 5, 8050 Zürich"
304,5300,3.5,103,"Bürglistr. 25, 8002 Zürich"
305,4660,5.5,147,"Spindelstrasse 15, 8041 Zürich"
306,2600,4.0,97,"Schaffhauserstrasse 457, 8052 Zürich"
307,3939,3.5,75,"Forchstr. 26, 8008 Zürich"
308,5645,5.0,131,"Rigistr. 52, 8006 Zürich"
309,3110,2.5,115,"Tulpenstrasse 43, 8051 Zürich"
310,3410,3.5,73,"Hohlstrasse 27, 8004 Zürich"
311,4410,5.5,130,"Schulstrasse 28, 8050 Zürich"
312,2122,1.5,24,"Hagenholzstrasse 59, 8050 Zürich"
313,2035,1.5,23,"Bernerstrasse S 169, 8048 Zürich"
314,1753,2.0,47,"Gutstrasse 158 160 162, 8055 Zürich"
315,3831,3.5,124,"Eulenweg 19, 8048 Zürich"
316,2420,2.0,44,"Josefstrasse 202, 8005 Zürich"
317,3090,2.5,84,"Albisstrasse 114, 8038 Zürich"
318,2110,3.5,83,"Wildenstrasse 15, 8049 Zürich"
319,2100,2.0,59,"Alfred Escher-Str. 36, 8002 Zürich"
320,2100,2.0,59,"Alfred Escher-Str. 36, 8002 Zürich"
321,2080,2.0,59,"Alfred Escher-Str. 36, 8002 Zürich"
322,1770,1.5,25,"Müllerstrasse 76, 8004 Zürich"
323,2014,2.5,62,"Hätzlergasse 28, 8048 Zürich"
324,2820,2.5,75,"Buckhauserstrasse 49, 8048 Zürich"
325,2874,5.0,97,"Im Sträler 9, 8047 Zürich"
326,1770,2.0,53,"Oerlikonerstr. 3, 8057 Zürich"
327,1895,1.0,7,"Steinstrasse 35 (S3), 8003 Zürich"
328,7500,5.5,155,"Scheuchzerstrasse 79, 8006 Zürich"
329,1461,3.5,61,"Ziegelstrasse 12, 8038 Zürich"
330,2011,2.5,60,"Heerenschürlistrasse 3, 8051 Zürich"
331,1726,1.5,39,"Widmerstrasse 17 A, 8038 Zürich"
332,2760,4.5,88,"Carl-Spitteler-Strasse 19, 8053 Zürich"
333,5750,4.5,158,"Möhrlistrasse 99a, 8006 Zürich"
334,3890,4.5,86,"Bühlstrasse 10, 8055 Zürich"
335,3265,3.5,67,"Hohlstrasse 27, 8004 Zürich"
336,1690,1.5,27,"Hohlstrasse 27, 8004 Zürich"
337,2229,2.0,43,"Hohlstrasse 27, 8004 Zürich"
338,3810,3.5,85,"Forchstr. 26, 8008 Zürich"
339,2160,1.5,42,"Hofwiesenstrasse 360, 8050 Zürich"
340,4800,4.0,118,"Restelbergstrasse 82, 8044 Zürich"
341,3350,2.0,0,"Pestalozzistrasse 38, 8032 Zürich"
342,2890,2.5,68,"Haldenbachstrasse 10, 8006 Zürich"
343,2820,1.0,0,"Hofwiesenstrasse 360, 8050 Zürich"
344,3900,2.5,75,8002 Zürich
345,3500,3.5,87,"Vulkanstrasse 110b, 8048 Zürich"
346,4200,3.5,75,"Badenerstrasse 250, 8004 Zürich"
347,3250,2.5,72,"Jenatschstrasse 3, 8002 Zürich"
348,4650,4.5,119,"Jenatschstrasse 5, 8002 Zürich"
349,3250,2.0,57,"Kanzleistrasse 225, 8004 Zürich"
350,4920,4.5,0,"Hafnerstrasse 24, 8005 Zürich"
351,3930,3.0,88,"Steinhaldenstrasse 62, 8002 Zürich"
352,3590,3.5,72,"Stampfenbachplatz 4, 8006 Zürich"
353,2050,1.5,34,"Fabrikstrasse 32, 8005 Zürich"
354,3505,3.0,83,"Steinstrasse 75, 8003 Zürich"
355,2730,1.5,45,"Zurlindenstrasse 111, 8003 Zürich"
356,3450,2.0,55,"Zurlindenstrasse 111, 8003 Zürich"
357,3495,3.0,84,"Steinstrasse 75, 8003 Zürich"
358,3590,2.5,74,"Segnesstrasse 14, 8048 Zürich"
359,3990,2.5,102,"Aemtlerstr. 17, 8003 Zürich"
360,6639,4.5,130,"Gotthardstrasse 53, 8002 Zürich"
361,6240,3.5,160,"Dreikönigstrasse 31, 8002 Zürich"
362,8590,4.5,178,"Gotthardstrasse 38, 8002 Zürich"
363,6838,4.5,144,"Gotthardstrasse 53, 8002 Zürich"
364,3162,2.5,62,"Jenatschstrasse 3, 8002 Zürich"
365,3151,2.5,60,"Jenatschstrasse 5, 8002 Zürich"
366,4315,3.5,97,"Pfingstweidstrasse 106a, 8005 Zürich"
367,9750,2.5,150,"Rämistr. 5, 8001 Zürich"
368,3390,2.5,73,"Triemlistrasse 153, 8047 Zürich"
369,2320,1.0,9,"Kanzleistrasse 225, 8004 Zürich"
370,2615,3.0,61,"Langackerstr. 10, 8057 Zürich"
371,2990,4.5,124,"Holderbachweg 4, 8046 Zürich"
372,5050,4.5,0,"Rieterstrasse 48, 8002 Zürich"
373,2600,5.5,0,"Langensteinenstrasse 32, 8057 Zürich"
374,2740,2.5,77,"Spindelstrasse 15, 8041 Zürich"
375,3230,2.5,85,"Spindelstrasse 9, 8041 Zürich"
376,2720,3.0,79,"Limmattalstr. 272, 8049 Zürich"
377,2730,2.5,57,"Eugen-Huber-Str. 115, 8048 Zürich"
378,3050,2.0,60,"Feldeggstr. 10, 8008 Zürich"
379,3900,2.0,51,"Franklinstrasse 12, 8050 Zürich"
380,9260,7.5,232,"Cäcilienstr. 5, 8032 Zürich"
381,3150,1.5,36,"Franklinstrasse 12, 8050 Zürich"
382,4827,2.0,57,"Wolframplatz 1, 8045 Zurich"
383,3519,0.0,29,"Wolframplatz 1, 8045 Zurich"
384,4038,0.0,45,"Wolframplatz 1, 8045 Zurich"
385,3000,0.0,26,"Wolframplatz 1, 8045 Zurich"
386,3415,0.0,33,"Wolframplatz 1, 8045 Zurich"
387,2020,1.0,0,"Pestalozzistrasse 38, 8032 Zürich"
388,1921,4.0,73,"Wehntalerstrasse 527, 8046 Zürich"
389,2700,2.5,65,"Zentralstrasse 153, 8003 Zürich"
390,1412,0.0,25,"Rainstrasse 24, 8038 Zürich"
391,2790,3.5,120,"Im Heuried 58, 8055 Zürich"
392,3932,4.5,113,"Etzelsteig 1, 8038 Zürich"
393,2315,3.0,78,"Uetlibergstr. 178, 8045 Zürich"
394,2410,1.5,44,"Anna-Heer-Strasse 12, 8057 Zürich, 8057 Zürich"
395,5740,3.5,115,"Attenhoferstrasse 17, 8032 Zürich"
396,3880,3.5,82,"Neugasse 31, 8005 Zürich"
397,4850,4.5,122,"Scheideggstrasse 125, 8038 Zürich"
398,2430,4.5,116,"Stodolastr. 21, 8053 Zürich"
399,3860,0.0,137,"Giesshübelstrasse 62d, 8045 Zürich"
400,4730,3.5,156,"Giesshübelstrasse 62c, 8045 Zürich"
401,1630,2.0,52,"Eulenweg 29, 8048 Zürich"
402,3890,4.5,108,"Limmattalstrasse 2, 8049 Zürich"
403,4300,3.5,108,"Heidwiesen 19, 8051 Zürich"
404,2130,4.0,71,"Luegislandstrasse 498, 8051 Zürich"
405,3900,3.5,100,"Rötelstrasse 109, 8037 Zürich"
406,2619,2.5,66,"Oberwiesenstrasse 69, 8050 Zürich"
407,2345,4.5,108,"Bachwiesenstr. 121, 8047 Zürich"
408,5850,3.5,103,"Zollikerstrasse 6, 8008 Zürich"
409,3810,5.5,115,"Riedenhaldenstrasse 257, 8046 Zürich"
410,3925,3.5,83,"Seminarstr. 1, 8006 Zürich"
411,3690,4.0,90,"Milchbuckstrasse 74, 8057 Zürich"
412,1980,2.0,52,"Altstetterstrasse 196, 8048 Zürich"
413,2880,3.0,77,"Meinrad-Lienert-Strasse 15, 8003 Zürich"
