n,price,rooms,meters,address
803,3790,3.0,83,"Hufgasse 19, 8008 Zürich"
804,1850,3.0,56,"Balberstrasse 68, 8038 Zürich"
805,3299,2.5,0,"Sonnentalstrasse 15, 8000 Zurich"
806,2770,3.0,83,"Restelbergstrasse 52, 8044 Zürich"
807,2580,2.5,67,"Hagenholzstrasse 55, 8050 Zürich"
808,3490,3.5,94,8041 Zürich
809,3100,3.0,0,"David-Hess-Weg 26, 8038 Zürich"
810,1148,1.0,0,"Culmannstr. 45, 8006 Zürich"
811,1390,2.5,65,"Am Wettingertobel 1, 8049 Zürich"
812,2290,3.0,66,"Riedenhaldenstrasse 260, 8046 Zürich"
813,3010,2.5,80,"Brandschenkestrasse 40, 8002 Zürich"
814,2350,1.5,44,"Forchstrasse 271, 8008 Zürich"
815,2860,3.5,74,"Kirchenfeld 75, 8052 Zürich"
816,3710,3.5,86,"Leutschenbachstrasse 30, 8050 Zürich"
817,1190,1.0,14,"Birchstrasse, 8050 Zürich"
818,2900,4.5,90,"Allmannstrasse 22, 8052 Zürich"
819,1390,1.0,28,"Langwiesstrasse 25, 8050 Zürich"
820,4038,2.0,37,"Cramerstrasse 2-6, 8004 Zurich"
821,3311,0.0,34,"Binzmühlestr. 50, 8050 Zurich"
822,3104,0.0,39,"Binzmühlestr. 50, 8050 Zurich"
823,2602,0.0,16,"Brandschenkestrasse 10, 8001 Zürich"
824,3716,0.0,44,"Bellariastrasse 36, 8002 Zurich"
825,3820,0.0,46,"Bellariastrasse 36, 8002 Zurich"
826,3000,0.0,24,"Militärstrasse 24, 8004 Zurich"
827,3415,0.0,24,"Zweierstrasse 24, 8004 Zurich"
828,1962,0.0,0,"Rotachstrasse 33, 8003 Zurich"
829,1200,1.0,15,"Katzenbachstrasse, 8052 Zürich"
830,3330,1.5,48,"Seefeldstrasse 102, 8008 Zürich"
831,4890,3.5,85,8037 Zürich
832,4660,5.0,130,"Bergstrasse 116, 8032 Zürich"
833,1250,1.0,16,"Stiglenstrasse, 8052 Zurich"
834,2630,2.5,76,"Greifenseestrasse 33, 8050 Zürich"
835,2975,2.5,54,"Stampfenbachstrasse 68, 8006 Zürich"
836,5600,5.5,141,"Apollostrasse 21, 8032 Zürich"
837,5490,3.5,141,"Rosenbühlstrasse 30, 8044 Zürich"
838,3550,2.5,79,"Witikonerstrasse 486, 8053 Zürich"
839,2490,3.0,84,"Im Tiergarten 54, 8055 Zürich"
840,1433,1.0,13,"Anwandstrasse 10, 8004 Zürich"
841,4830,2.5,93,"Götzstrasse 19, 8006 Zürich"
842,2290,2.5,53,"Milchbuckstrasse 7, 8057 Zürich"
843,3090,3.5,70,"Milchbuckstrasse 7, 8057 Zürich"
844,3600,2.5,72,"Milchbuckstrasse 7, 8057 Zürich"
845,2030,2.0,47,"Milchbuckstrasse 7, 8057 Zürich"
846,2490,3.0,92,"Im Tiergarten 17, 8055 Zürich"
847,2540,3.5,100,"Im Tiergarten 17, 8055 Zürich"
848,2650,3.5,71,"Austrasse 41, 8045 Zürich"
849,3290,4.0,77,"Haldenstrasse 159, 8055 Zürich"
850,3480,2.5,81,"Frohalpstrasse 48, 8038 Zürich"
851,3090,3.0,68,"Nordstrasse 96, 8037 Zürich"
852,2430,1.5,29,"Bäckerstrasse 10, 8004 Zürich"
853,1960,1.0,22,"Bäckerstrasse 10, 8004 Zürich"
854,2730,1.5,40,"Bäckerstrasse 10, 8004 Zürich"
855,2590,2.0,0,"Eibenstrasse 21, 8045 Zürich"
856,2090,2.0,50,"Bändlistrasse 69, 8064 Zürich"
857,2950,3.0,63,"Haldenstrasse 159, 8055 Zürich"
858,2550,2.5,48,"Birmensdorferstrasse 582, 8055 Zürich"
859,1400,2.0,44,"Magnusstrasse 8, 8004 Zürich"
860,1290,1.0,20,8045 Zürich
861,6450,6.5,180,8006 Zürich
862,5994,4.5,160,"Sonneggstrasse 4, 8006 Zürich"
863,2130,3.0,0,"Wehntalerstrasse 296, 8046 Zürich"
864,3050,4.0,116,"Grossackerstrasse 37, 8041 Zürich"
865,1100,1.0,0,"Rolandstr. 17, 8004 Zürich"
866,3659,3.0,70,"Kirchgasse 33, 8001 Zürich"
867,3980,4.0,101,"Eierbrechtstrasse 42, 8053 Zürich"
868,2625,2.5,68,"Oerlikonerstrasse 55, 8057 Zürich"
869,5520,4.5,115,"Albisriederstrasse 17, 8003 Zürich"
870,9900,6.5,203,"Hofstrasse 74, 8032 Zürich"
871,2753,2.5,60,"Russenweg 6, 8008 Zürich"
872,5800,4.5,140,8050 Zürich
873,3890,3.5,90,"Albisriederstrasse 15, 8003 Zürich"
874,3950,3.5,0,"Badenerstrasse 543, 8048 Zürich"
875,3452,2.5,95,"Klosbachstrasse 54, 8032 Zürich"
876,3300,2.5,63,8008 Zürich
877,3690,3.5,96,"Wolfbachstrasse 18, 8032 Zürich"
878,2890,3.0,54,"Seestrasse 293, 8038 Zürich"
879,3000,4.5,97,"Soodstrasse 88a, 8041 Zürich"
880,2100,1.5,42,8044 Zürich
881,2662,2.5,56,"Langstrasse 231, 8005 Zürich"
882,2290,2.0,0,"Dennlerstrasse 11a, 8048 Zurich"
883,4500,4.0,110,"Schulhausstrasse, 8002 Zürich"
884,1866,2.0,0,"Letzigraben 69, 8003 Zürich"
885,2792,0.0,21,"Militärstrasse 24, 8004 Zurich"
886,3895,2.5,41,"Grimselstrasse 2, 8048 Zürich"
887,1310,1.0,16,"Langfurren, 8057 Zürich"
888,2357,2.5,60,"Buchzelgstrasse 28, 8053 Zürich"
889,1750,2.5,50,"Hurdäckerstrasse 3, 8049 Zürich"
890,3050,3.0,65,"Moränenstrasse 7, 8038 Zürich"
891,3960,4.5,100,"Limmattalstrasse 266, 8049 Zürich"
892,3990,3.5,97,"Scheideggstrasse, 8002 Zürich"
893,2121,1.0,34,"Asylstrasse 108, 8032 Zürich"
894,2500,2.5,0,"Waffenplatzstrasse 15, 8002 Zürich"
895,2150,3.0,64,8052 Zürich
896,4380,2.5,88,"Götzstrasse 21, 8006 Zürich"
897,950,1.0,0,"Schwamendingenstr. 48, 8050 Zürich"
898,3284,3.0,74,"Aemtlerstrasse 32, 8003 Zürich"
899,2310,2.5,45,8004 Zürich
900,2200,3.5,76,"Friedrichstrasse 6, 8051 Zürich"
901,4300,3.5,135,8005 Zürich
902,2174,3.5,74,"Gagliardiweg 1, 8050 Zürich"
903,2088,3.0,76,"Friedrichstrasse 4, 8051 Zürich"
904,3099,2.0,0,"Sonnentalstrasse 13, 8000 Zurich"
905,2970,2.5,71,"Albisstrasse 62, 8038 Zürich"
906,3000,3.5,76,8004 Zürich
907,3000,3.5,76,8004 Zürich
908,3000,3.5,76,8004 Zürich
909,4268,3.5,72,8045 Zürich
910,4000,4.5,80,8004 Zürich
911,3190,3.5,65,"Rolandstrasse 3, 8004 Zürich"
912,4990,2.5,0,"Stampfenbachstrasse 146, 8006 Zürich"
913,3890,3.5,86,"Othmarstrasse 20, 8008 Zürich"
914,2900,2.5,82,"Wolfbachstrasse 18, 8032 Zürich"
915,0,5.5,236,8008 Zürich
916,2200,1.5,44,"Carl Spitteler-Strasse 70, 8053 Zürich"
917,3400,3.5,90,"Verena-Conzett-Strasse 21, 8004 Zürich"
918,3390,4.5,67,"Rolandstrasse 3, 8004 Zürich"
919,1870,1.0,24,"Zielweg 80, 8055 Zürich"
920,2550,2.5,46,"Chaletweg 3, 8050 Zürich"
921,1150,1.0,22,"Beckhammer 19, 8057 Zürich"
922,3394,3.5,88,"Kernstrasse 26, 8004 Zürich"
923,1471,1.0,30,"Zurlindenstrasse 45, 8003 Zürich"
924,1692,2.5,65,"Eichrainstrasse 12, 8052 Zürich"
925,2990,2.5,96,"Seestrasse 510, 8038 Zürich"
926,3700,3.5,93,"Anwandstrasse 8, 8004 Zürich"
927,3275,4.5,100,"Sperletweg 56, 8052 Seebach"
928,2292,2.5,55,"Ottenbergstrasse 33, 8049 Zürich"
929,2919,3.0,75,"Rotbuchstrasse 28, 8037 Zürich"
930,4160,3.5,100,"Hallwylstrasse 64, 8004 Zürich"
931,4485,4.5,96,"Welchogasse 8, 8050 Zürich"
932,3484,3.5,65,"Welchogasse 8, 8050 Zürich"
933,2020,1.5,39,"Lehenstrasse 64, 8037 Zürich"
934,1150,1.0,0,"Scheffelstrasse 11, 8037 Zürich"
935,2250,2.0,52,"Kanzleistrasse 225, 8004 Zürich"
936,2490,3.0,77,"Dörflistrasse 31, 8057 Zurigo"
937,2560,2.0,52,"Stationsstrasse 47, 8003 Zürich"
938,1490,1.0,20,8004 Zürich
939,2310,2.5,46,8004 Zürich
940,1271,1.5,30,"Holderbachweg 14, 8046 Zürich"
941,2154,3.0,76,"Birnbaumstrasse, 8050 Zürich"
942,5490,5.5,141,"Limmattalstrasse 262, 8049 Zürich"
943,1200,1.0,15,"Ackersteinstrasse 123, 8049 Zürich"
944,3100,2.5,63,"Jakob-Fügli-Strasse 2, 8048 Zürich"
945,2380,2.5,56,"Anemonenstrasse 40 E, 8047 Zürich"
946,2960,2.5,69,"Siewerdtstrasse 15, 8050 Zürich"
947,3790,3.5,88,"Leutschenbachstrasse 40, 8050 Zürich"
948,1100,1.0,0,"Hofwiesenstrasse 299, 8050 Zürich"
949,2742,4.5,136,"Ferdinand-Hodler-Strasse 7, 8049 Zürich"
950,8850,5.5,180,8006 Zurich
951,2870,3.5,75,"Guetliweg 1, 8050 Zürich"
